Canonical,Team,Numbers,Variations
Mark Adrian Golder,SV Fellbach Flashers,0,Mark Adrian Golder
Mateus Rodrigues Rocha,SV Fellbach Flashers,4,Mateus Rodrigues Rocha
Travis Davis,SV Fellbach Flashers,6,Travis Davis
Tyseem Lamel Lyles,SV Fellbach Flashers,7,Tyseem Lamel Lyles
Jakob Hanzalek,SV Fellbach Flashers,8,Jakob Hanzalek
Nik Philip Schlipf,SV Fellbach Flashers,9,Nik Philip Schlipf
Brian Butler,SV Fellbach Flashers,10,Brian Butler
Jonathan Gerlinger,SV Fellbach Flashers,13,Jonathan Gerlinger
Nelson Okafor,SV Fellbach Flashers,21,Nelson Okafor
Thomas Billinger,SV Fellbach Flashers,22,Thomas Billinger
Jeremy Julian Kolev,SV Fellbach Flashers,77,Jeremy Julian Kolev
Esosa Kelvin Okundaye,Hertener Löwen,0/7,Esosa Kelvin Okundaye; Player 0
Bryant Allen,Hertener Löwen,8,Bryant Allen
David Ewald,Hertener Löwen,9,David Ewald
Gilbert Kofi Gyamfi,Hertener Löwen,10,Gilbert Kofi Gyamfi
Christian Matthew Hinckson,Hertener Löwen,11/35,Christian Matthew Hinckson; Player 11
Tarik Jakupovic,Hertener Löwen,14,Tarik Jakupovic
Dario Fiorentino,Hertener Löwen,20,Dario Fiorentino
Tim Elkenhans,Hertener Löwen,21,Tim Elkenhans
Faton Jetullahi,Hertener Löwen,22,Faton Jetullahi
Stefan Bogdan,Hertener Löwen,24,Stefan Bogdan
Joshua Ober,Hertener Löwen,32,Joshua Ober
Müslim Akil Özmeral,Hertener Löwen,44,Müslim Akil Özmeral
Anthony Watkins,LOK BERNAU,0,Anthony Watkins
Emanuel Schüler,LOK BERNAU,2,Emanuel Schüler
Leo Döring,LOK BERNAU,3,Leo Döring
Mathéo Hermann,LOK BERNAU,4,Mathéo Hermann
Lukas Johannes Klein,LOK BERNAU,6,Lukas Johannes Klein
Shawn Anthony Scott II,LOK BERNAU,8,Shawn Anthony Scott II
Finn Georg Siedel,LOK BERNAU,9,Finn Georg Siedel
Marco Rahn,LOK BERNAU,15,Marco Rahn
Meo Martin,LOK BERNAU,18,Meo Martin
Noah Elino Adim Isichei,LOK BERNAU,20,Noah Elino Adim Isichei
Guy Artman Nahmias,LOK BERNAU,24,Guy Artman Nahmias
Akim-Jamal Jonah,LOK BERNAU,34,Akim-Jamal Jonah
Leo Alban,Dresden Titans,8,Leo Alban
Jannis Niklas Ernst,Dresden Titans,9,Jannis Niklas Ernst
Duje Putnik,Dresden Titans,11,Duje Putnik
Kevin Kollmar,Dresden Titans,13,Kevin Kollmar
Osasere Best Otakho,Dresden Titans,14,Osasere Best Otakho
Malte Silbermann,Dresden Titans,21,Malte Silbermann
Leonard Alejandro Benitez Arocha,Dresden Titans,23,Leonard Alejandro Benitez Arocha
Sebastian Heck,Dresden Titans,25,Sebastian Heck
Simeon Dimitrov,Dresden Titans,77,Simeon Dimitrov
Jon'll Larenz Fugett,Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett
Andre Galler,Baskets Juniors TSG Westerstede,4,Andre Galler
Fritz Hemschemeier,Baskets Juniors TSG Westerstede,7,Fritz Hemschemeier
Lazar Klaric,Baskets Juniors TSG Westerstede,10,Lazar Klaric
Simon Kohlhoff,Baskets Juniors TSG Westerstede,12,Simon Kohlhoff
Finn Stuehlmeyer,Baskets Juniors TSG Westerstede,15/3,Finn Stuehlmeyer; Player 15
Johann Helwig,Baskets Juniors TSG Westerstede,16,Johann Helwig
Ore Ewert,Baskets Juniors TSG Westerstede,17,Ore Ewert
Joel Harms,Baskets Juniors TSG Westerstede,21,Joel Harms
Noah Wendland,Baskets Juniors TSG Westerstede,24,Noah Wendland
Luca Mevius,Baskets Juniors TSG Westerstede,25,Luca Mevius
Colin Schroeder,Baskets Juniors TSG Westerstede,29,Colin Schroeder
Niko Jerkic,FC Bayern Basketball II,1,Niko Jerkic
Theo Roesinger,FC Bayern Basketball II,4,Theo Roesinger
Kilian Maurice Fischer,FC Bayern Basketball II,17,Kilian Maurice Fischer
Desmond Obed Yiamu,FC Bayern Basketball II,23,Desmond Obed Yiamu
Gob Makuag Gabriel,FC Bayern Basketball II,25,Gob Makuag Gabriel
Kventin Kostan,FC Bayern Basketball II,35,Kventin Kostan
Namik Muratovic,FC Bayern Basketball II,37,Namik Muratovic
Jordan Zimmermann,ETB Miners,1,Jordan Zimmermann
Jegor Cymbal,ETB Miners,2,Jegor Cymbal
Quashawn Tyrese Lane,ETB Miners,4,Quashawn Tyrese Lane
Benjamin Uzoma,ETB Miners,5,Benjamin Uzoma
Mychael Paulo,ETB Miners,10,Mychael Paulo
Gabriel Jung,ETB Miners,11,Gabriel Jung
Niclas Jonathan Sperber,ETB Miners,12,Niclas Jonathan Sperber
Lukas Ophelders,ETB Miners,13,Lukas Ophelders
Simon Rentz,ETB Miners,14,Simon Rentz
Jonathan Almstedt,ETB Miners,26,Jonathan Almstedt
Marc William Friederici,ETB Miners,30,Marc William Friederici
Reik Simon Gäbler,ETB Miners,32,Reik Simon Gäbler
Fabrice Heberer,SKYLINERS Juniors,3,Fabrice Heberer
Moses Pölking,SKYLINERS Juniors,6,Moses Pölking
Joscha Zentgraf,SKYLINERS Juniors,7,Joscha Zentgraf
Leif Zentgraf,SKYLINERS Juniors,9,Leif Zentgraf
Alvin Onyia,SKYLINERS Juniors,10,Alvin Onyia
Dusan Nikolic,SKYLINERS Juniors,14,Dusan Nikolic
Julian Haskins,SKYLINERS Juniors,15,Julian Haskins
Ehiozogie Idemudia,SKYLINERS Juniors,20,Ehiozogie Idemudia
Maximilian Peters,SKYLINERS Juniors,21,Maximilian Peters
Lukas Smazak,SKYLINERS Juniors,35,Lukas Smazak
Brian Christopher Dawson,BG Hessing Leitershofen,0,Brian Christopher Dawson
Brendan Gregori,BG Hessing Leitershofen,1,Brendan Gregori
Zion Antonio Richardson,BG Hessing Leitershofen,3,Zion Antonio Richardson
Emmanuel Timothy Womala,BG Hessing Leitershofen,7,Emmanuel Timothy Womala
Emmanuel Ansah,BG Hessing Leitershofen,9,Emmanuel Ansah
Ferenc Gille,BG Hessing Leitershofen,11,Ferenc Gille
Dominik Heinrich,BG Hessing Leitershofen,13,Dominik Heinrich
Clint Hamann,BG Hessing Leitershofen,14,Clint Hamann
Jannik Westermeir,BG Hessing Leitershofen,15,Jannik Westermeir
Tom-Niclas Alte,BG Hessing Leitershofen,33,Tom-Niclas Alte
Luka Zajic,EN BASKETS Schwelm,2,Luka Zajic
Fabian Reichstadt,EN BASKETS Schwelm,4,Fabian Reichstadt
Lennart Urspruch,EN BASKETS Schwelm,5,Lennart Urspruch
Zyon Ezekiel Patterson,EN BASKETS Schwelm,7,Zyon Ezekiel Patterson
Robert Peter Merz,EN BASKETS Schwelm,8,Robert Peter Merz
Marius Stoll,EN BASKETS Schwelm,9,Marius Stoll
Tim Ludwig,EN BASKETS Schwelm,11,Tim Ludwig
Jascal Niclas Knörig,EN BASKETS Schwelm,12,Jascal Niclas Knörig
Jeremiah Kofi Osei,EN BASKETS Schwelm,18,Jeremiah Kofi Osei
Henning Gustrau,EN BASKETS Schwelm,21,Henning Gustrau
Felix Egger,BBC Coburg,4,Felix Egger
Nico Höllerl,BBC Coburg,5,Nico Höllerl
Erik Neunhoeffer,BBC Coburg,6,Erik Neunhoeffer
Julian Günther,BBC Coburg,7,Julian Günther
Nico Wenzl,BBC Coburg,8,Nico Wenzl
Dylan Fasoyiro,BBC Coburg,12,Dylan Fasoyiro
Darius Dawson,BBC Coburg,13,Darius Dawson
Marc Deinlein,BBC Coburg,14,Marc Deinlein
Finn Döntgens,BBC Coburg,38,Finn Döntgens
Finn Motter,BBC Coburg,75,Finn Motter
Leo Cosic,BBC Coburg,77,Leo Cosic
Aimé Olma,TSV Neustadt temps Shooters,2,Aimé Olma
Emil Loch,TSV Neustadt temps Shooters,3,Emil Loch
Amar Licina,TSV Neustadt temps Shooters,4,Amar Licina
Elias Marei,TSV Neustadt temps Shooters,7,Elias Marei
Matej Jelovcic,TSV Neustadt temps Shooters,10,Matej Jelovcic
